product_id,battery_capacity_mah_,headphone_form_factor,waterproof_standard,brand_name,volume_control,battery_indicator,charging_interface_type,chipset,codecs,game_atmosphere_light,material,private_mold,product_name,sound_quality,charging_time,control_method,wireless_delay_time,battery_charging_time
1601719179516,200-500mah,In ear,IPX-6,ZAYSON,Yes,Digital Display,Type-C,Bluetrum,,,,Yes,,"Stereo, High Fidelity (Hi-Fi), Bass Boost",,Touch Control,,1-3 hours
1601718818402,200-500mah,In ear,IPX-4,ZAYSON,Yes,Digital Display,Type-C,Bluetrum,,,ABS+PC,Yes,,"Surround Sound, Stereo, High Fidelity (Hi-Fi)",,Touch Control,,1-3 hours
1601718440748,400mAh,,IPX-4,OEM/ODM,,,Type-C,Other,,,Plastic,No,,stereophonic,,Touch Control,31-40 ms,1-3 hours
1601718074249,200-500mah,,IPX-6,,,LED,,JL,,,ABS,Yes,M10 TWS,,1 hour,,51-60 ms,
1601718031746,200-500mah,,No,Kingstar,,LED,Type-C,JL,AAC,No Light,ABS,Yes,Kingstar Mini Tws Earbuds,Stereo,1-2Hours,Touch Control,51-60 ms,1-3 hours
1601718016075,200mAh,In ear,IPX-4,TSSD,Yes,,Type-C,,"AAC, Sbc",RGB,Plastic,Yes,Wireless Bluetooth Headphone,Stereo,1-2 Hours,Touch Control,,1-3 hours
1601717929014,200-500mah,In ear,No,,Yes,Digital Display,Type-C,JL,,,Plastic,Yes,,,1-3H,,less than 30ms,
1601717863946,200-500mah,In ear,IPX-4,zayson,,LED,Type-C,JL,"AAC, Sbc",,ABS+PC,Yes,,Stereo,,Touch Control,,1-3 hours
1601717754565,180mah,,IPX-4,SHIOU,,LED,Type-C,AB5756,,,Plastic,Yes,TWS Wireless Earbuds,High Fidelity (Hi-Fi),,Touch Control,,1-3 hours
1601717697149,200-500mah,In ear,IPX-5,zayson,Yes,LED,Type-C,JL,"AAC, APT-X",Single Color,Plastic,Yes,,Stereo,,Touch Control,less than 30 ms,1-3 hours
1601716697624,200-500mah,In ear,IPX-4,OEM,Yes,LED,Type-C,,AAC,No Light,"Metal, Plastic",No,,"Bass Boost, High Fidelity (Hi-Fi), Stereo, Studio Level, Surround Sound",,Touch Control,less than 30 ms,1-3 hours
1601716472454,200-500mah,In ear,IPX-4,,,Digital Display,Type-C,,,,Plastic,Yes,,High Fidelity (Hi-Fi),,,,1-3 hours
1601716367371,200mAh,In ear,IPX-0,Epro TWS Earphone,,,Type-C,,,,,Yes,,,,,,
1601716269924,200mah,,IPX-5,SHIOU,,LED,Type-C,AB5756,,,Plastic,Yes,TWS Wireless Earbuds,High Fidelity (Hi-Fi),,Touch Control,,1-3 hours
1601716052597,polymer 451012-35mA * 2,In ear,IPX-5,auriculares inalambricos,Yes,LED,Type-C,JL,,,Plastic,,A8 standard configuration auriculares inalambricos,,,Touch Control,41-50 ms,1-3 hours
1601715884082,200mah,,IPX-3,SUN-RISE,,LED,Type-C,,,,Plastic,,,"Stereo, High Fidelity (Hi-Fi)",,Touch Control,,1-3 hours
1601715797865,200-500mah,In ear,IPX-3,SUN-RISE,Yes,LED,Type-C,,,,"Plastic, ABS",,,,,Touch Control,,1-3 hours
1601715772482,200mAh,In ear,IPX-3,SUN-RISE,Yes,LED,Type-C,,,,"Plastic, Metal",,,"Stereo, Surround Sound, High Fidelity (Hi-Fi)",,Touch Control,,1-3 hours
1601715091019,200-500mah,In ear,IPX-5,OEM,Yes,Digital Display,Type-C,,AAC,No Light,"Metal, Plastic",,,High Fidelity (Hi-Fi),,Touch Control,31-40 ms,1-3 hours
